1586160247.5061157,20200406,17,04,07,506115,1408,427
1586160247.5145454,20200406,17,04,07,514545,1412,426
1586160247.5222392,20200406,17,04,07,522239,1414,425
1586160247.530502,20200406,17,04,07,530502,1416,424
1586160247.5383914,20200406,17,04,07,538391,1417,424
1586160247.5463748,20200406,17,04,07,547373,1419,424
1586160247.5547743,20200406,17,04,07,555347,1421,423
1586160247.563366,20200406,17,04,07,563365,1424,422
1586160247.5724277,20200406,17,04,07,572427,1426,421
1586160247.5783024,20200406,17,04,07,578302,1430,420
1586160247.5862763,20200406,17,04,07,586276,1434,419
1586160247.5952115,20200406,17,04,07,595211,1439,418
1586160247.602293,20200406,17,04,07,603191,1443,417
1586160247.6104298,20200406,17,04,07,610429,1447,416
1586160247.6192968,20200406,17,04,07,619296,1451,414
1586160247.627521,20200406,17,04,07,627521,1454,413
1586160247.6385365,20200406,17,04,07,638536,1457,412
1586160247.6425192,20200406,17,04,07,642519,1460,410
1586160247.651091,20200406,17,04,07,651091,1462,408
1586160247.659078,20200406,17,04,07,659077,1465,405
1586160247.6662529,20200406,17,04,07,666252,1468,404
1586160247.6751757,20200406,17,04,07,675175,1469,401
1586160247.684184,20200406,17,04,07,684184,1469,400
1586160247.690215,20200406,17,04,07,690215,1469,399
1586160247.6983206,20200406,17,04,07,698320,1469,399
1586160247.7071762,20200406,17,04,07,707176,1470,396
1586160247.7144086,20200406,17,04,07,715153,1471,393
1586160247.7232127,20200406,17,04,07,723212,1472,392
1586160247.7309299,20200406,17,04,07,730929,1473,391
1586160247.7389104,20200406,17,04,07,738910,1475,390
1586160247.7468858,20200406,17,04,07,746886,1477,389
1586160247.7553613,20200406,17,04,07,755361,1478,387
1586160247.762441,20200406,17,04,07,763432,1479,386
1586160247.7704146,20200406,17,04,07,770414,1480,384
1586160247.7793906,20200406,17,04,07,779390,1481,382
1586160247.7913725,20200406,17,04,07,791372,1482,382
1586160247.7943497,20200406,17,04,07,795346,1483,380
1586160247.8033261,20200406,17,04,07,803326,1484,378
1586160247.811304,20200406,17,04,07,811304,1485,378
1586160247.820072,20200406,17,04,07,820071,1486,377
1586160247.8270514,20200406,17,04,07,827051,1486,376
1586160247.8350332,20200406,17,04,07,835033,1486,374
1586160247.8510673,20200406,17,04,07,851067,1486,372
1586160247.8593922,20200406,17,04,07,859392,1487,370
1586160247.8672519,20200406,17,04,07,867251,1488,370
1586160247.8743792,20200406,17,04,07,875376,1489,369
1586160247.8837175,20200406,17,04,07,883717,1490,367
1586160247.898655,20200406,17,04,07,898654,1490,367
1586160247.9071116,20200406,17,04,07,908105,1490,366
